text,label
 "RT  @TVPatrol:  #TVPatrol  #Halalan2016  Mas  kilalanin  si  VP  Binay  sa  ikalawang  episode  ng   "Kandidato. "  https://t.co/4XVCPFlNNC ",0
 "VP  Binay  pointed  out  that  traffic  has  been  a  recurring  problem  in  the  country  even  before  today  #OnlyBinayUNAsaSamar ",0
 "#OTWOLBackslide  commercial  break ",1
 "2015/10/15  10:37  PHT ",0
 "binay  ads  is  paawa  ..  attack  sa  sarili  para  maawa  ang  tao ",1
 "President  Nieto  is  much  worse  than  Binay.  #fact ",0
 "Nf  ko   "duterte      trillanes    roxas "  ?? ",0
 "dito  lang  ba  may  brownout?  ito  na  kaya  ang  simula  ng  malawakang  dayaan?  baka  biglang  lumamang  c  roxas?  #PHVote2016  #BilangPilipino ",1
 "May  bago  na  namang  tv  ad  si  binay.  Yung  totoo?  Nakamagkano  ka  na...  po?  ?? ",1
 "WALA  TAYONG  MAAASAHAN  KAY  MAR  ROXAS    MAUUBOS  LANG  PERA  NATIN  KAKAKURAKOT  NIYANG  KINGINANG  NIYAN  #AyawSaDILAW ",1
 "Bagong  pakulo  na  naman  ni  Mar    magsama  na  lang  kayo  ni  Binay!  ??  https://t.co/PI0NjptVDv ",1
 "@24OrasGMA  @MARoxas  sino  ngaun  nagmukhang  tanga  at  duwag  sa  ginagawa  mo  na  yan  Mr.  Roxas  hahaha  lalo  lang  dadami  boboto  kay  du3o ",1
 "My  shit  list  of  politicians  who  should  be  vanished  from  the  Philippine  gov't  forever:  Binay    Sotto    Enrile ",1
 "@DaniloA64203375  sabi  ni  Binay  mahirap  sya  tapos  yung  properties  daw  nya  galing  sa  mana.  Ang  labo  ng  script  nya  noh! ",1
 "#DaangMatuwid ",0
 "Binay:  It's  possible  that  I  will  vote  in  favor  of  sengracepoe;  I  will  decide  based  on  evidence  submitted  |  via  Joseph_Morong ",0
 "#OnlyBinayWinner ",0
 "RT  @Powteytow:  Bakit  dahil  Kay  binay  Marami  pa  ring  single?  Hahahhahaha ",0
 "Binay    libre  gamot?  Libre  pahospital?  Tapos  no  income  tax?  WEHHH ",1
 "Sakit  umasa ",1
 "Binay    Escudero  meet  in  Davao  https://t.co/VTGJSxGTH3  #TheFilipinoVotes  https://t.co/SjlkqLwr2l ",0
 "Peña  denies  shutting  down  Binay  daughter’s  office  |  https://t.co/4bQYWKxnDs ",0
 "Parang  si  Ma'am  Miriam  Santiago  nalang  ang  candidate  for  President  na  walang  TV  campaign  advertisement. ",0
 "Binay:  More  poor  Filipinos  under  Aquino  administration  https://t.co/zTweQ55rpT  |  @MJcayabyabINQ  https://t.co/nDjGZ7miRD ",0
 "Sisihin  si  nognog  Binay  hahaha  ???????????????????? ",1
 "pls  RT  https://t.co/7V0bJyWMS9 ",0
 "Mar  Roxas:  #RoxasRobredo  is  for  democracy  and  for  clean  and  transparent  governance  https://t.co/l8psEvmnoP  #SwitchToMAR  and  Leni  na! ",0
 "Dapat  si  Mar  Roxas  yung  pinaka  kulelat  jan  eh  ??  Pero  wala  malakas  ang  dayaan!  ?? ",1
 "E  ayoko  kay  Mar  Roxas. ",0
 "I  know  AlDub  doesnt  what  to  go  into  politics    but  me  as  a  Filipino  voter    i  really  dont  like  Binay.  He  is  so  corrupt!  #WantedPresident ",1
 "Binay  on  Erap’s  possible  support  for  @sengracepoe:   "Next  question  please.”  #PHVote  @rapplerdotcom ",0
 "RT  @WTFMikel:  Natapos  na  PBB    pandak  at  nognog  pa  din  sa  Binay ",1
 "@teddyboylocsin  yeah  right.  And  pls  Lang    it  was  LBL  who  was  really  for  Mar.  You  have  always  been  pro-Binay.  Kadiri. ",1
 "#UNTVRepaso2015  Dismissed  Makati  Mayor  Binay    sinampahan  ng  bagong  plunder  complaint  sa  Office  of  the  Ombudsman  [18-12-2015]  [NY-A1861] ",0
 "RT  @hedahhh:  Pag  naririnig  ko  yung  hotline  bling    si  Binay  nasa  isip  ko  hahahaha.  ?? ",0
 "Binay  -  Marginalized  Sector ",0
 "Sana  may  debate  ng  mga  kandidato.  #RoxasRobredo ",0
 " "Hindi  ko  kayo  nanakawan "  -Mar  Roxas  my  reaction:  bakit  kaya  mo  bang  akyatin  lahat  nang  bahay  nang  Pinoy? ",0
 "HAY  BUHAY  NGA  NAMAN!!  SBI  NI  GRACE  POE   "MAY  BAGONG  UMAGANG  PARATING! "    YUNG  KAY  BINAY   "PARATING  NA  PARATING  NA! "  BUHAY  NGA  NAMN??????????? ",0
 "Isyu  ngayon  mga  dilaw  Bigas  ind  bala      ang  kurakot  na  si  Binay      ang  Amerikanang  Poe..  wag  ilihis  ang  isyu  sa  napakatagal  na  ..  #Duterte ",1
 "Wag  ka  lang  talaga  mandaya  Mar  Roxas!  Kaloka  ka.  #Election2016 ",1
 "Any  reason  why  Binay    Poe    Santiago    and  Roxas  did  not  attend  the  debate  at  Lasalle? ",0
 "Why  choose  Binay    Poe  and  Roxas  over  Santiago?  Damn. ",1
 "#AyawSaDILAW ",1
 "SA  INANG  BAYAN ",0
 "'President'  Binay  to  give  benefits    scrap  income  tax  for  the  poor  via  @rapplerdotcom  https://t.co/N1vOVz4GV1 ",0
